Sample,GC_content,Description,Scientific Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
IG005,high,"Ensifer adhaerens strain Corn53 chromosome, complete genome",Ensifer adhaerens,106592,146,146,91%,1.00E-30,83.33,4049947,CP030262.1
IG005,high,"Ensifer adhaerens strain Casida A, complete sequence",Ensifer adhaerens,106592,146,146,91%,1.00E-30,83.33,4071185,CP015880.1
IG005,high,"Ensifer sp. T173 chromosome, complete genome",Ensifer,555315,146,146,91%,1.00E-30,83.33,4051102,CP083370.1
IG005,high,Ensifer adhaerens OV14 chromosome 1 sequence,Ensifer adhaerens,1416753,146,146,91%,1.00E-30,83.33,3956045,CP007236.1
IG005,high,"Ensifer adhaerens strain E-60 chromosome, complete genome",Ensifer adhaerens,106592,141,141,91%,1.00E-29,82.61,4107670,CP084486.1
IG005,high,Sinorhizobium meliloti WSM1022 chromosome,Sinorhizobium meliloti,1041157,133,133,90%,7.00E-27,81.62,3703795,CP054390.1
IG005,high,"Sinorhizobium meliloti strain AK21 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3785735,CP026525.1
IG005,high,"Sinorhizobium meliloti strain B399 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3781386,CP019488.1
IG005,high,"Sinorhizobium meliloti strain B401 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3459457,CP019485.1
IG005,high,"Sinorhizobium meliloti strain CCMM B554 (FSM-MA), complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3641423,CP019584.1
IG005,high,"Sinorhizobium meliloti strain HM006 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3664783,CP021829.1
IG005,high,"Sinorhizobium meliloti strain KH35c chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3668245,CP021825.1
IG005,high,"Sinorhizobium meliloti strain KH46 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3699865,CP021822.1
IG005,high,"Sinorhizobium meliloti strain M162 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3817269,CP021818.1
IG005,high,"Sinorhizobium meliloti strain M270 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3504252,CP021812.1
IG005,high,"Sinorhizobium meliloti strain Rm41 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3678504,CP021808.1
IG005,high,"Sinorhizobium meliloti strain T073 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3814348,CP021804.1
IG005,high,"Sinorhizobium meliloti strain USDA1021 plasmid psymB, complete sequence",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,2011522,CP021802.1
IG005,high,"Sinorhizobium meliloti RU11/001 chromosome, complete genome",Sinorhizobium meliloti,1401243,133,133,90%,7.00E-27,81.62,3938685,CP021219.1
IG005,high,"Sinorhizobium meliloti strain USDA1106 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3671869,CP021797.1
IG005,high,"Sinorhizobium meliloti strain USDA1157 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3791696,CP021793.1
IG005,high,"Sinorhizobium meliloti GR4, complete genome",Sinorhizobium meliloti,1235461,133,133,90%,7.00E-27,81.62,3620713,CP003933.2
IG005,high,"Sinorhizobium meliloti strain RMO17, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3649532,CP009144.1
IG005,high,"Sinorhizobium meliloti strain L6-AK89 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3580141,CP085525.1
IG005,high,"Sinorhizobium meliloti 2011, complete genome",Sinorhizobium meliloti,1286640,133,133,90%,7.00E-27,81.62,3657276,CP004140.1
IG005,high,Sinorhizobium meliloti Rm41 complete genome,Sinorhizobium meliloti,1230587,133,133,90%,7.00E-27,81.62,3679105,HE995405.1
IG005,high,"Sinorhizobium meliloti strain AK76 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3580177,CP066359.1
IG005,high,"Sinorhizobium meliloti strain S35m chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3610844,CP065020.1
IG005,high,"Sinorhizobium meliloti strain RCAM1115 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,4003712,CP050558.1
IG005,high,"Sinorhizobium meliloti strain RCAM1750 chromosome, complete genome",Sinorhizobium meliloti,382,133,133,90%,7.00E-27,81.62,3602000,CP050511.1
IG005,high,"Sinorhizobium meliloti SM11, complete genome",Sinorhizobium meliloti,707241,133,133,90%,7.00E-27,81.62,3908022,CP001830.1
IG005,high,"Sinorhizobium meliloti AK83 chromosome 1, complete sequence",Sinorhizobium meliloti,693982,133,133,90%,7.00E-27,81.62,3820344,CP002781.1
IG005,high,"Sinorhizobium meliloti BL225C, complete genome",Sinorhizobium meliloti,698936,133,133,90%,7.00E-27,81.62,3671982,CP002740.1
IG005,high,Sinorhizobium meliloti 1021 complete chromosome,Sinorhizobium meliloti,266834,133,133,90%,7.00E-27,81.62,3654135,AL591688.1
IG005,high,"Ensifer mexicanus strain ITTG R7 chromosome, complete genome",Ensifer mexicanus,375549,132,132,91%,7.00E-27,81.16,4316340,CP041238.1
IG005,high,"Ensifer sojae CCBAU 05684 chromosome, complete genome",Ensifer sojae,716928,128,128,91%,3.00E-25,80.43,3672259,CP023067.1
IG005,high,"Ensifer sp. PDNC004 chromosome, complete genome",Ensifer,2811423,128,128,91%,3.00E-25,80.43,4152503,CP070353.1
IG005,high,"Ensifer alkalisoli strain YIC4027 chromosome 1, complete sequence",Ensifer alkalisoli,1752398,120,120,90%,4.00E-23,79.41,3690234,CP034909.1
IG005,high,"Sinorhizobium fredii CCBAU 25509 chromosome, complete genome",Sinorhizobium fredii,1128330,115,115,90%,2.00E-21,78.68,4198614,CP029451.1
IG005,high,"Sinorhizobium fredii CCBAU 45436 chromosome, complete genome",Sinorhizobium fredii,1128331,115,115,90%,2.00E-21,78.68,4162966,CP029231.1
